shm,1
fr,26
szl,9
nh,2
tt,12
jsz,58
łdz,6
rzc,2
łzb,3
ncj,56
szp,16
lsz,11
ćp,31
łpr,15
głwp,1
strz,37
łg,11
ktm,1
rprz,3
kgr,2
łsł,1
ćl,3
ndw,1
łp,24
mczt,2
głprz,2
ćm,15
mlz,1
tkn,5
jt,20
chzn,6
mg,12
ńsk,66
nch,1
ńsc,2
ćkr,1
dkszt,3
szt,43
zzr,2
mśn,2
zs,23
ml,16
żspr,1
głb,10
łz,25
rż,11
rwm,1
śćs,4
mj,32
tzm,1
szc,7
ts,6
ntm,4
ćw,25
śćd,1
dzk,16
nzd,2
łj,30
strzśw,1
szm,10
ksp,16
słt,1
nzw,2
skl,2
chtrw,1
szw,11
jc,27
zgł,11
mwsł,1
psk,4
ssł,1
żb,11
ćczt,1
rr,10
dc,14
mzm,3
ntr,36
żwk,2
rcz,33
gkr,1
jgw,2
mzb,3
mszp,2
jzw,1
th,5
ntss,1
jczw,1
ćstr,1
rch,10
wzm,4
wj,27
chfr,1
śb,7
zchw,1
mtchn,1
fchc,1
łc,21
łm,21
łprz,9
dźw,3
ćs,47
jps,1
ćn,42
jrz,30
rzzg,1
żh,1
bz,12
dch,7
śzz,1
żt,11
stsk,1
łszkl,1
łr,6
jść,4
zkl,4
dłn,5
trn,1
żf,2
mśm,2
szł,27
nśm,1
łb,19
śwt,2
ćtw,2
mkp,1
jgł,1
żl,29
mchc,2
nb,8
rwn,3
tj,7
żj,8
śzb,1
łwc,1
stsz,1
trzn,8
bch,1
jmn,13
zch,3
jchw,6
tp,13
lkn,1
kwkł,1
łd,24
jśm,2
mwzr,2
śćczcz,1
cskrz,1
łdł,2
śćp,10
nsj,4
nr,6
sprz,16
mgr,2
ćd,21
mpr,31
fl,16
łśm,1
łśl,1
śs,4
nv,1
nswr,1
bł,8
szch,1
trw,8
dgł,3
chszm,1
ltr,1
rzb,3
thw,1
rzw,2
dj,21
wszp,2
jwśc,1
bstw,1
thj,1
tł,18
jgn,1
jwł,3
cm,9
kśm,1
żm,10
skr,14
łzz,2
łzd,5
ndrz,12
lp,5
mpl,10
nck,6
śćr,3
łż,6
ćspr,4
łzgn,1
ćśw,1
łdrzw,2
dłd,6
skm,1
mrz,2
ddz,7
ćpl,2
ngrz,1
lj,2
nwcz,1
mwsz,5
ntw,2
żz,6
rfr,1
ńzm,2
ctw,18
śćspr,1
kz,23
śwr,1
ćwł,1
ćkł,1
rp,16
żc,6
nwł,2
zcz,11
źćn,1
jstr,6
ksz,34
ćwn,4
snk,1
kf,1
mpsk,1
ll,16
śćw,5
żwn,1
ższ,23
mcd,1
ld,9
źćw,1
gm,12
rzchn,4
dtw,1
stch,2
zdn,8
kzr,1
dst,51
skł,6
ksj,3
jpżb,1
kspl,4
ksm,2
tf,1
ścz,2
dsp,2
mgł,3
lw,12
gw,8
zdk,2
mpk,1
sks,2
łwczw,2
ckprz,1
łgr,2
czż,1
dkr,13
łws,1
ntp,3
psz,19
ktł,1
wgł,1
źb,2
ntz,1
wsc,2
źl,5
ćchł,1
pj,1
wzw,7
mwł,6
nws,2
kgł,2
nkcj,12
bj,14
żs,13
nj,6
stc,3
mwkr,1
lstw,2
jwż,2
rq,1
ttw,1
shd,1
sh,6
szr,4
cbł,1
sld,1
psl,1
grzm,1
chkr,3
rgh,1
tm,12
stzw,1
rzp,3
dsz,7
wsw,4
ćb,12
xw,2
chwc,2
chśw,2
mż,6
chzp,2
ńr,2
stz,4
jzd,2
stwm,1
żg,2
dchm,1
chbrw,1
dkt,2
mwsch,1
ćr,11
rl,17
js,22
gz,10
wsch,1
rwc,6
mww,1
dztwp,1
rkw,1
nchc,1
rtw,2
wbr,2
mwzn,1
łkl,1
śszp,1
nzj,1
jczł,1
wzgl,9
rspr,1
wkl,2
żzdz,1
pchn,2
jj,10
bw,7
jmw,1
zwzgl,2
mld,2
dczł,1
nts,1
mzn,9
ćpr,6
sd,3
dh,2
mczł,2
nkr,5
cspr,1
cw,9
łtk,1
śj,6
śszcz,1
wśc,1
wzd,1
łfr,1
jwsł,1
kg,8
mgs,1
ft,5
zsł,1
stb,4
wczw,1
kdz,4
zrz,6
łcz,7
ksł,3
ndz,9
zbl,5
żr,7
zkw,1
rj,4
szdz,1
fw,1
lszt,2
mbr,4
ndt,1
chzd,3
ćz,18
cf,5
ćkl,5
ss,10
nl,3
łczt,1
łl,5
dprz,8
mgdz,2
tsł,2
mnp,1
kgd,3
ztr,4
śchc,2
źćd,1
sdr,1
źćp,2
bsz,14
zst,2
znr,1
mlnd,1
std,4
lsł,1
śćf,1
crz,1
śćdz,1
ćwcz,1
stp,9
rzz,1
łzg,1
żprz,3
wf,9
mtr,5
nsf,4
ńzdr,1
mlnzł,1
czp,6
psp,1
xp,1
rwsz,36
słsp,1
stj,11
kch,3
swsł,1
wzr,9
ćt,15
żwpł,1
wtr,6
dśw,2
csp,1
ńsp,1
strzt,1
mśp,1
kzw,2
śćgdz,1
schr,2
chzw,13
twst,1
łdr,3
łspr,1
rzpr,1
mskrz,2
mwszcz,1
cmśn,1
śpr,1
msł,1
rnk,3
ndwn,1
wspr,14
łzl,1
mwspr,1
kszt,7
wswj,1
zgw,2
śćb,3
mkl,3
nrz,3
śćj,3
kh,2
bp,6
mwz,1
wstrz,7
szs,2
nbł,1
źćwn,1
stt,20
mzr,1
szkł,1
żwr,1
mlnzłj,1
nwp,1
wpr,26
ćwpr,2
nwprz,1
bt,3
chwpr,1
kwsw,1
wpl,4
stm,7
kwsł,1
ćzk,1
chdw,4
stzg,2
sl,3
bm,3
ćdw,1
żwsz,1
sps,1
rsw,1
mwp,4
łcw,1
zh,2
cchw,1
jzn,6
pkt,6
