cluster,length,occurences_pl,occurences_en,frequency_pl,frequency_en,total_frequency,relative_frequency
ldsm,4,0,1,0.000000,0.000071,0.000071,0.000000
ldsn,4,0,1,0.000000,0.000071,0.000071,0.000000
ldsp,4,0,2,0.000000,0.000141,0.000141,0.000000
ldspl,5,0,1,0.000000,0.000071,0.000071,0.000000
ldst,4,0,7,0.000000,0.000495,0.000495,0.000000
ldstr,5,0,3,0.000000,0.000212,0.000212,0.000000
ldt,3,0,27,0.000000,0.001908,0.001908,0.000000
ldtr,4,0,1,0.000000,0.000071,0.000071,0.000000
ldtw,4,0,1,0.000000,0.000071,0.000071,0.000000
ldt͡ʃ,3,0,3,0.000000,0.000212,0.000212,0.000000
ldv,3,3,1,0.000191,0.000071,0.000262,0.729921
ldw,3,1,69,0.000064,0.004876,0.004940,0.012888
ldz,3,2,15,0.000127,0.001060,0.001187,0.107236
ldzf,4,0,1,0.000000,0.000071,0.000071,0.000000
ldzj,4,1,0,0.000064,0.000000,0.000064,1.000000
ldzl,4,0,1,0.000000,0.000071,0.000071,0.000000
ldzm,4,0,1,0.000000,0.000071,0.000071,0.000000
ldzn,4,0,1,0.000000,0.000071,0.000071,0.000000
ldzp,4,0,3,0.000000,0.000212,0.000212,0.000000
ldzpl,5,0,3,0.000000,0.000212,0.000212,0.000000
ldzs,4,0,3,0.000000,0.000212,0.000212,0.000000
ldzsl,5,0,1,0.000000,0.000071,0.000071,0.000000
ldzsm,5,0,1,0.000000,0.000071,0.000071,0.000000
ldzst,5,0,1,0.000000,0.000071,0.000071,0.000000
ldzð,4,0,2,0.000000,0.000141,0.000141,0.000000
ldð,3,0,67,0.000000,0.004735,0.004735,0.000000
ldɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
ldʃ,3,0,4,0.000000,0.000283,0.000283,0.000000
ld͡z,2,1,29,0.000064,0.002049,0.002113,0.030129
ld͡zb,3,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zg,3,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zgr,4,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zh,3,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zp,3,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zr,3,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zs,3,0,2,0.000000,0.000141,0.000141,0.000000
ld͡zsm,4,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zst,4,0,1,0.000000,0.000071,0.000071,0.000000
ld͡zw,3,0,2,0.000000,0.000141,0.000141,0.000000
ld͡ʒ,2,2,47,0.000127,0.003322,0.003449,0.036920
ld͡ʒv,3,1,0,0.000064,0.000000,0.000064,1.000000
ldθ,3,0,8,0.000000,0.000565,0.000565,0.000000
ldθr,4,0,4,0.000000,0.000283,0.000283,0.000000
lf,2,42,295,0.002674,0.020848,0.023522,0.113679
lfb,3,0,3,0.000000,0.000212,0.000212,0.000000
lfbr,4,0,1,0.000000,0.000071,0.000071,0.000000
lfd͡ʒ,3,0,1,0.000000,0.000071,0.000071,0.000000
lfh,3,0,2,0.000000,0.000141,0.000141,0.000000
lfj,3,0,2,0.000000,0.000141,0.000141,0.000000
lfk,3,1,3,0.000064,0.000212,0.000276,0.230941
lfkl,4,0,1,0.000000,0.000071,0.000071,0.000000
lfl,3,1,6,0.000064,0.000424,0.000488,0.130545
lfn,3,0,1,0.000000,0.000071,0.000071,0.000000
lfp,3,2,0,0.000127,0.000000,0.000127,1.000000
lfr,3,5,30,0.000318,0.002120,0.002438,0.130545
lfs,3,1,3,0.000064,0.000212,0.000276,0.230941
lfsp,4,0,2,0.000000,0.000141,0.000141,0.000000
lfspl,5,0,1,0.000000,0.000071,0.000071,0.000000
lfst,4,1,1,0.000064,0.000071,0.000134,0.473926
lft,3,0,3,0.000000,0.000212,0.000212,0.000000
lfth,4,0,1,0.000000,0.000071,0.000071,0.000000
lfw,3,0,6,0.000000,0.000424,0.000424,0.000000
lfð,3,0,4,0.000000,0.000283,0.000283,0.000000
lfʃ,3,4,0,0.000255,0.000000,0.000255,1.000000
lg,2,64,128,0.004075,0.009046,0.013121,0.310552
lgj,3,2,0,0.000127,0.000000,0.000127,1.000000
lgl,3,0,4,0.000000,0.000283,0.000283,0.000000
lgn,3,4,0,0.000255,0.000000,0.000255,1.000000
lgr,3,3,14,0.000191,0.000989,0.001180,0.161808
lgw,3,1,0,0.000064,0.000000,0.000064,1.000000
lgz,3,2,0,0.000127,0.000000,0.000127,1.000000
lgzd,4,1,0,0.000064,0.000000,0.000064,1.000000
lgʒ,3,2,0,0.000127,0.000000,0.000127,1.000000
lh,2,0,189,0.000000,0.013357,0.013357,0.000000
lj,2,31,189,0.001974,0.013357,0.015331,0.128739
lk,2,1158,334,0.073725,0.023604,0.097329,0.757481
lkb,3,0,1,0.000000,0.000071,0.000071,0.000000
lkd͡ʒ,3,0,1,0.000000,0.000071,0.000071,0.000000
lkf,3,1,0,0.000064,0.000000,0.000064,1.000000
lkfp,4,1,0,0.000064,0.000000,0.000064,1.000000
lkh,3,0,1,0.000000,0.000071,0.000071,0.000000
lkj,3,0,3,0.000000,0.000212,0.000212,0.000000
lkl,3,5,17,0.000318,0.001201,0.001520,0.209463
lkp,3,1,1,0.000064,0.000071,0.000134,0.473926
lkr,3,0,14,0.000000,0.000989,0.000989,0.000000
lks,3,2,4,0.000127,0.000283,0.000410,0.310552
lksp,4,1,0,0.000064,0.000000,0.000064,1.000000
lkspʃ,5,1,0,0.000064,0.000000,0.000064,1.000000
lkst,4,1,0,0.000064,0.000000,0.000064,1.000000
lksw,4,0,1,0.000000,0.000071,0.000071,0.000000
lkt,3,1,1,0.000064,0.000071,0.000134,0.473926
lkw,3,3,9,0.000191,0.000636,0.000827,0.230941
lkð,3,0,1,0.000000,0.000071,0.000071,0.000000
lkɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
lkʃ,3,0,1,0.000000,0.000071,0.000071,0.000000
ll,2,126,100,0.008022,0.007067,0.015089,0.531638
llb,3,3,0,0.000191,0.000000,0.000191,1.000000
llg,3,2,0,0.000127,0.000000,0.000127,1.000000
llgr,4,1,0,0.000064,0.000000,0.000064,1.000000
llm,3,1,0,0.000064,0.000000,0.000064,1.000000
lln,3,1,0,0.000064,0.000000,0.000064,1.000000
lls,3,1,0,0.000064,0.000000,0.000064,1.000000
llz,3,2,0,0.000127,0.000000,0.000127,1.000000
llzd,4,1,0,0.000064,0.000000,0.000064,1.000000
llzz,4,1,0,0.000064,0.000000,0.000064,1.000000
lm,2,132,257,0.008404,0.018163,0.026566,0.316335
lmb,3,1,0,0.000064,0.000000,0.000064,1.000000
lmd,3,3,5,0.000191,0.000353,0.000544,0.350870
lmdf,4,0,1,0.000000,0.000071,0.000071,0.000000
lmdfr,5,0,1,0.000000,0.000071,0.000071,0.000000
lmdð,4,0,1,0.000000,0.000071,0.000071,0.000000
lmj,3,1,2,0.000064,0.000141,0.000205,0.310552
lmm,3,1,0,0.000064,0.000000,0.000064,1.000000
lmp,3,1,0,0.000064,0.000000,0.000064,1.000000
lmr,3,1,0,0.000064,0.000000,0.000064,1.000000
lms,3,2,0,0.000127,0.000000,0.000127,1.000000
lmsk,4,1,0,0.000064,0.000000,0.000064,1.000000
lmst,4,1,0,0.000064,0.000000,0.000064,1.000000
lmv,3,1,0,0.000064,0.000000,0.000064,1.000000
lmw,3,0,2,0.000000,0.000141,0.000141,0.000000
lmz,3,3,8,0.000191,0.000565,0.000756,0.252519
lmzd,4,1,0,0.000064,0.000000,0.000064,1.000000
lmzdj,5,1,0,0.000064,0.000000,0.000064,1.000000
lmzh,4,0,1,0.000000,0.000071,0.000071,0.000000
lmzm,4,1,0,0.000064,0.000000,0.000064,1.000000
lmɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
ln,2,1494,109,0.095117,0.007703,0.102820,0.925081
lnj,3,0,5,0.000000,0.000353,0.000353,0.000000
lp,2,38,255,0.002419,0.018021,0.020441,0.118358
lpb,3,0,3,0.000000,0.000212,0.000212,0.000000
lpf,3,0,2,0.000000,0.000141,0.000141,0.000000
lpg,3,0,1,0.000000,0.000071,0.000071,0.000000
lph,3,0,2,0.000000,0.000141,0.000141,0.000000
lpj,3,1,11,0.000064,0.000777,0.000841,0.075698
lpk,3,0,1,0.000000,0.000071,0.000071,0.000000
lpl,3,1,46,0.000064,0.003251,0.003315,0.019208
lpm,3,0,17,0.000000,0.001201,0.001201,0.000000
lpp,3,0,1,0.000000,0.000071,0.000071,0.000000
lppr,4,0,1,0.000000,0.000071,0.000071,0.000000
lpr,3,4,27,0.000255,0.001908,0.002163,0.117748
lps,3,1,5,0.000064,0.000353,0.000417,0.152668
lpsm,4,0,1,0.000000,0.000071,0.000071,0.000000
lpst,4,0,2,0.000000,0.000141,0.000141,0.000000
lpt,3,0,16,0.000000,0.001131,0.001131,0.000000
lpth,4,0,2,0.000000,0.000141,0.000141,0.000000
lptm,4,0,3,0.000000,0.000212,0.000212,0.000000
lptt,4,0,1,0.000000,0.000071,0.000071,0.000000
lptt͡ʃ,4,0,1,0.000000,0.000071,0.000071,0.000000
lpt͡ʃ,3,0,4,0.000000,0.000283,0.000283,0.000000
lpv,3,0,1,0.000000,0.000071,0.000071,0.000000
lpw,3,0,3,0.000000,0.000212,0.000212,0.000000
lpð,3,0,9,0.000000,0.000636,0.000636,0.000000
lpʃ,3,11,0,0.000700,0.000000,0.000700,1.000000
lr,2,8,159,0.000509,0.011237,0.011746,0.043361
ls,2,530,423,0.033743,0.029894,0.063637,0.530241
lsh,3,0,2,0.000000,0.000141,0.000141,0.000000
lsk,3,402,14,0.025594,0.000989,0.026583,0.962781
lskw,4,0,1,0.000000,0.000071,0.000071,0.000000
lsl,3,0,4,0.000000,0.000283,0.000283,0.000000
lsm,3,0,4,0.000000,0.000283,0.000283,0.000000
lsn,3,1,4,0.000064,0.000283,0.000346,0.183819
lsp,3,6,14,0.000382,0.000989,0.001371,0.278545
lspr,4,1,1,0.000064,0.000071,0.000134,0.473926
lsr,3,1,2,0.000064,0.000141,0.000205,0.310552
lst,3,20,77,0.001273,0.005442,0.006715,0.189622
lstf,4,13,0,0.000828,0.000000,0.000828,1.000000
lstj,4,0,1,0.000000,0.000071,0.000071,0.000000
lstr,4,0,8,0.000000,0.000565,0.000565,0.000000
lsts,4,0,1,0.000000,0.000071,0.000071,0.000000
lstt,4,0,1,0.000000,0.000071,0.000071,0.000000
lstw,4,0,1,0.000000,0.000071,0.000071,0.000000
lst͡s,3,76,0,0.004839,0.000000,0.004839,1.000000
lsw,3,0,7,0.000000,0.000495,0.000495,0.000000
lsð,3,0,3,0.000000,0.000212,0.000212,0.000000
lsʃ,3,0,1,0.000000,0.000071,0.000071,0.000000
lt,2,195,483,0.012415,0.034134,0.046549,0.266704
ltb,3,0,5,0.000000,0.000353,0.000353,0.000000
ltbr,4,0,1,0.000000,0.000071,0.000071,0.000000
ltd,3,0,2,0.000000,0.000141,0.000141,0.000000
ltd͡ʒ,3,0,1,0.000000,0.000071,0.000071,0.000000
ltf,3,1,8,0.000064,0.000565,0.000629,0.101212
ltfr,4,0,3,0.000000,0.000212,0.000212,0.000000
ltg,3,0,1,0.000000,0.000071,0.000071,0.000000
lth,3,0,4,0.000000,0.000283,0.000283,0.000000
ltl,3,1,2,0.000064,0.000141,0.000205,0.310552
ltm,3,0,5,0.000000,0.000353,0.000353,0.000000
ltn,3,0,2,0.000000,0.000141,0.000141,0.000000
ltp,3,2,3,0.000127,0.000212,0.000339,0.375227
ltpl,4,0,1,0.000000,0.000071,0.000071,0.000000
ltr,3,13,22,0.000828,0.001555,0.002382,0.347401
lts,3,3,3,0.000191,0.000212,0.000403,0.473926
ltsk,4,1,0,0.000064,0.000000,0.000064,1.000000
ltskʃ,5,1,0,0.000064,0.000000,0.000064,1.000000
ltss,4,1,0,0.000064,0.000000,0.000064,1.000000
ltt,3,2,10,0.000127,0.000707,0.000834,0.152668
lttr,4,0,1,0.000000,0.000071,0.000071,0.000000
ltt͡s,3,1,0,0.000064,0.000000,0.000064,1.000000
ltt͡ʃ,3,1,0,0.000064,0.000000,0.000064,1.000000
ltv,3,0,1,0.000000,0.000071,0.000071,0.000000
ltw,3,0,10,0.000000,0.000707,0.000707,0.000000
ltð,3,0,9,0.000000,0.000636,0.000636,0.000000
ltʃ,3,2,0,0.000127,0.000000,0.000127,1.000000
lt͡s,2,143,30,0.009104,0.002120,0.011224,0.811113
lt͡sf,3,0,1,0.000000,0.000071,0.000071,0.000000
lt͡sfr,4,0,1,0.000000,0.000071,0.000071,0.000000
lt͡sg,3,0,2,0.000000,0.000141,0.000141,0.000000
lt͡sh,3,0,1,0.000000,0.000071,0.000071,0.000000
lt͡sk,3,0,1,0.000000,0.000071,0.000071,0.000000
lt͡sn,3,1,0,0.000064,0.000000,0.000064,1.000000
lt͡sp,3,0,1,0.000000,0.000071,0.000071,0.000000
lt͡spl,4,0,1,0.000000,0.000071,0.000071,0.000000
lt͡st,3,0,1,0.000000,0.000071,0.000071,0.000000
lt͡ʃ,2,124,51,0.007895,0.003604,0.011499,0.686555
ltθ,3,0,1,0.000000,0.000071,0.000071,0.000000
lv,2,127,110,0.008086,0.007774,0.015859,0.509827
lvb,3,1,0,0.000064,0.000000,0.000064,1.000000
lvd,3,2,23,0.000127,0.001625,0.001753,0.072646
lvdf,4,0,1,0.000000,0.000071,0.000071,0.000000
lvdfr,5,0,1,0.000000,0.000071,0.000071,0.000000
lvdw,4,0,1,0.000000,0.000071,0.000071,0.000000
lvdð,4,0,5,0.000000,0.000353,0.000353,0.000000
lvg,3,1,0,0.000064,0.000000,0.000064,1.000000
lvj,3,0,3,0.000000,0.000212,0.000212,0.000000
lvm,3,1,0,0.000064,0.000000,0.000064,1.000000
lvr,3,2,0,0.000127,0.000000,0.000127,1.000000
lvs,3,0,3,0.000000,0.000212,0.000212,0.000000
lvsk,4,0,1,0.000000,0.000071,0.000071,0.000000
lvskr,5,0,1,0.000000,0.000071,0.000071,0.000000
lvsl,4,0,1,0.000000,0.000071,0.000071,0.000000
lvw,3,2,0,0.000127,0.000000,0.000127,1.000000
lvz,3,0,27,0.000000,0.001908,0.001908,0.000000
lvzf,4,0,1,0.000000,0.000071,0.000071,0.000000
lvzl,4,0,1,0.000000,0.000071,0.000071,0.000000
lvzn,4,0,1,0.000000,0.000071,0.000071,0.000000
lvzt,4,0,1,0.000000,0.000071,0.000071,0.000000
lvzw,4,0,1,0.000000,0.000071,0.000071,0.000000
lvð,3,0,2,0.000000,0.000141,0.000141,0.000000
lvɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
lvθ,3,0,4,0.000000,0.000283,0.000283,0.000000
lw,2,1,401,0.000064,0.028339,0.028403,0.002242
lx,2,1,0,0.000064,0.000000,0.000064,1.000000
lz,2,19,572,0.001210,0.040424,0.041634,0.029055
lzb,3,3,7,0.000191,0.000495,0.000686,0.278545
lzbr,4,0,1,0.000000,0.000071,0.000071,0.000000
lzd,3,2,10,0.000127,0.000707,0.000834,0.152668
lzdr,4,0,1,0.000000,0.000071,0.000071,0.000000
lzdv,4,1,0,0.000064,0.000000,0.000064,1.000000
lzdvd,5,1,0,0.000064,0.000000,0.000064,1.000000
lzf,3,0,20,0.000000,0.001413,0.001413,0.000000
lzfl,4,0,1,0.000000,0.000071,0.000071,0.000000
lzfr,4,0,3,0.000000,0.000212,0.000212,0.000000
lzg,3,0,6,0.000000,0.000424,0.000424,0.000000
lzgr,4,0,2,0.000000,0.000141,0.000141,0.000000
lzh,3,0,22,0.000000,0.001555,0.001555,0.000000
lzj,3,0,6,0.000000,0.000424,0.000424,0.000000
lzk,3,0,10,0.000000,0.000707,0.000707,0.000000
lzkl,4,0,1,0.000000,0.000071,0.000071,0.000000
lzkr,4,0,1,0.000000,0.000071,0.000071,0.000000
lzkw,4,0,1,0.000000,0.000071,0.000071,0.000000
lzl,3,0,11,0.000000,0.000777,0.000777,0.000000
lzm,3,3,16,0.000191,0.001131,0.001322,0.144505
lzmɲ,4,1,0,0.000064,0.000000,0.000064,1.000000
lzn,3,0,8,0.000000,0.000565,0.000565,0.000000
lzp,3,0,12,0.000000,0.000848,0.000848,0.000000
lzpl,4,0,6,0.000000,0.000424,0.000424,0.000000
lzr,3,0,8,0.000000,0.000565,0.000565,0.000000
lzs,3,0,20,0.000000,0.001413,0.001413,0.000000
lzsk,4,0,3,0.000000,0.000212,0.000212,0.000000
lzsl,4,0,1,0.000000,0.000071,0.000071,0.000000
lzsm,4,0,1,0.000000,0.000071,0.000071,0.000000
lzsp,4,0,1,0.000000,0.000071,0.000071,0.000000
lzst,4,0,2,0.000000,0.000141,0.000141,0.000000
lzsw,4,0,4,0.000000,0.000283,0.000283,0.000000
lzt,3,0,15,0.000000,0.001060,0.001060,0.000000
lztr,4,0,2,0.000000,0.000141,0.000141,0.000000
lzt͡ʃ,3,0,2,0.000000,0.000141,0.000141,0.000000
lzv,3,1,3,0.000064,0.000212,0.000276,0.230941
lzw,3,0,45,0.000000,0.003180,0.003180,0.000000
lzz,3,2,0,0.000127,0.000000,0.000127,1.000000
lzzj,4,1,0,0.000064,0.000000,0.000064,1.000000
lzð,3,0,10,0.000000,0.000707,0.000707,0.000000
lzɣ,3,3,0,0.000191,0.000000,0.000191,1.000000
lzɣr,4,1,0,0.000064,0.000000,0.000064,1.000000
lzʃ,3,0,3,0.000000,0.000212,0.000212,0.000000
lzθ,3,0,6,0.000000,0.000424,0.000424,0.000000
lzθr,4,0,5,0.000000,0.000353,0.000353,0.000000
lð,2,0,269,0.000000,0.019011,0.019011,0.000000
lɣ,2,6,0,0.000382,0.000000,0.000382,1.000000
lɣv,3,1,0,0.000064,0.000000,0.000064,1.000000
lɲ,2,477,0,0.030369,0.000000,0.030369,1.000000
lɲt͡ʃ,3,1,0,0.000064,0.000000,0.000064,1.000000
lɲt͡ʃt,4,1,0,0.000064,0.000000,0.000064,1.000000
lʃ,2,62,33,0.003947,0.002332,0.006279,0.628605
lʃl,3,1,0,0.000064,0.000000,0.000064,1.000000
lʃp,3,1,0,0.000064,0.000000,0.000064,1.000000
lʃr,3,1,0,0.000064,0.000000,0.000064,1.000000
lʃt,3,6,0,0.000382,0.000000,0.000382,1.000000
lʃt͡ʃ,3,4,0,0.000255,0.000000,0.000255,1.000000
lʃw,3,0,1,0.000000,0.000071,0.000071,0.000000
lʃɲ,3,2,0,0.000127,0.000000,0.000127,1.000000
lʒ,2,14,1,0.000891,0.000071,0.000962,0.926537
lʒb,3,2,0,0.000127,0.000000,0.000127,1.000000
lʒɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
lθ,2,0,69,0.000000,0.004876,0.004876,0.000000
lθb,3,0,1,0.000000,0.000071,0.000071,0.000000
lθd,3,0,1,0.000000,0.000071,0.000071,0.000000
lθj,3,0,1,0.000000,0.000071,0.000071,0.000000
lθk,3,0,3,0.000000,0.000212,0.000212,0.000000
lθr,3,0,15,0.000000,0.001060,0.001060,0.000000
lθt,3,0,1,0.000000,0.000071,0.000071,0.000000
lθw,3,0,1,0.000000,0.000071,0.000071,0.000000
mb,2,638,299,0.040619,0.021131,0.061750,0.657799
mbb,3,1,0,0.000064,0.000000,0.000064,1.000000
mbbr,4,1,0,0.000064,0.000000,0.000064,1.000000
mbd,3,9,0,0.000573,0.000000,0.000573,1.000000
mbd͡ʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
mbj,3,0,4,0.000000,0.000283,0.000283,0.000000
mbl,3,9,9,0.000573,0.000636,0.001209,0.473926
mbn,3,16,0,0.001019,0.000000,0.001019,1.000000
mbr,3,24,19,0.001528,0.001343,0.002871,0.532261
mbrn,4,1,0,0.000064,0.000000,0.000064,1.000000
mbv,3,5,0,0.000318,0.000000,0.000318,1.000000
mbvb,4,1,0,0.000064,0.000000,0.000064,1.000000
mbvm,4,1,0,0.000064,0.000000,0.000064,1.000000
mbw,3,5,0,0.000318,0.000000,0.000318,1.000000
mbɣ,3,2,0,0.000127,0.000000,0.000127,1.000000
mbɣr,4,2,0,0.000127,0.000000,0.000127,1.000000
mbɲ,3,6,0,0.000382,0.000000,0.000382,1.000000
mbʒ,3,8,0,0.000509,0.000000,0.000509,1.000000
mbʒm,4,1,0,0.000064,0.000000,0.000064,1.000000
md,2,355,166,0.022601,0.011731,0.034333,0.658302
mdb,3,2,4,0.000127,0.000283,0.000410,0.310552
mdd,3,0,4,0.000000,0.000283,0.000283,0.000000
mdd͡ʒ,3,0,2,0.000000,0.000141,0.000141,0.000000
mdf,3,0,5,0.000000,0.000353,0.000353,0.000000
mdfr,4,0,1,0.000000,0.000071,0.000071,0.000000
mdh,3,0,5,0.000000,0.000353,0.000353,0.000000
mdj,3,0,3,0.000000,0.000212,0.000212,0.000000
mdl,3,23,2,0.001464,0.000141,0.001606,0.911972
mdm,3,0,3,0.000000,0.000212,0.000212,0.000000
mdn,3,0,2,0.000000,0.000141,0.000141,0.000000
mdp,3,0,1,0.000000,0.000071,0.000071,0.000000
mdr,3,15,5,0.000955,0.000353,0.001308,0.729921
mdrʒ,4,1,0,0.000064,0.000000,0.000064,1.000000
mds,3,0,5,0.000000,0.000353,0.000353,0.000000
mdt,3,0,27,0.000000,0.001908,0.001908,0.000000
mdt͡ʃ,3,0,1,0.000000,0.000071,0.000071,0.000000
mdv,3,23,1,0.001464,0.000071,0.001535,0.953960
mdw,3,4,2,0.000255,0.000141,0.000396,0.643080
mdð,3,0,10,0.000000,0.000707,0.000707,0.000000
mdɣ,3,3,0,0.000191,0.000000,0.000191,1.000000
mdɲ,3,9,0,0.000573,0.000000,0.000573,1.000000
mdʒ,3,6,0,0.000382,0.000000,0.000382,1.000000
mdʒv,4,2,0,0.000127,0.000000,0.000127,1.000000
md͡z,2,1,0,0.000064,0.000000,0.000064,1.000000
md͡zd,3,1,0,0.000064,0.000000,0.000064,1.000000
md͡ʒ,2,71,20,0.004520,0.001413,0.005934,0.761797
mf,2,253,125,0.016107,0.008834,0.024941,0.645813
mff,3,1,0,0.000064,0.000000,0.000064,1.000000
mfj,3,0,2,0.000000,0.000141,0.000141,0.000000
mfk,3,19,0,0.001210,0.000000,0.001210,1.000000
mfkf,4,1,0,0.000064,0.000000,0.000064,1.000000
mfkl,4,1,0,0.000064,0.000000,0.000064,1.000000
mfkr,4,2,0,0.000127,0.000000,0.000127,1.000000
mfkʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
mfkʃt,5,1,0,0.000064,0.000000,0.000064,1.000000
mfl,3,2,3,0.000127,0.000212,0.000339,0.375227
mfp,3,42,0,0.002674,0.000000,0.002674,1.000000
mfpl,4,1,0,0.000064,0.000000,0.000064,1.000000
mfpr,4,5,0,0.000318,0.000000,0.000318,1.000000
mfpw,4,1,0,0.000064,0.000000,0.000064,1.000000
mfpʃ,4,4,0,0.000255,0.000000,0.000255,1.000000
mfr,3,9,29,0.000573,0.002049,0.002622,0.218494
mfs,3,45,0,0.002865,0.000000,0.002865,1.000000
mfsf,4,4,0,0.000255,0.000000,0.000255,1.000000
mfsk,4,7,0,0.000446,0.000000,0.000446,1.000000
mfskr,5,1,0,0.000064,0.000000,0.000064,1.000000
mfsp,4,23,0,0.001464,0.000000,0.001464,1.000000
mfspr,5,2,0,0.000127,0.000000,0.000127,1.000000
mfst,4,7,0,0.000446,0.000000,0.000446,1.000000
mfstʃ,5,1,0,0.000064,0.000000,0.000064,1.000000
mfsw,4,1,0,0.000064,0.000000,0.000064,1.000000
mft,3,22,0,0.001401,0.000000,0.001401,1.000000
mftr,4,2,0,0.000127,0.000000,0.000127,1.000000
mft͡s,3,1,0,0.000064,0.000000,0.000064,1.000000
mft͡ʃ,3,17,0,0.001082,0.000000,0.001082,1.000000
mfʃ,3,28,0,0.001783,0.000000,0.001783,1.000000
mfʃk,4,2,0,0.000127,0.000000,0.000127,1.000000
mfʃp,4,1,0,0.000064,0.000000,0.000064,1.000000
mfʃr,4,2,0,0.000127,0.000000,0.000127,1.000000
mfʃt,4,1,0,0.000064,0.000000,0.000064,1.000000
mfʃt͡ʃ,4,1,0,0.000064,0.000000,0.000064,1.000000
mg,2,176,83,0.011205,0.005866,0.017071,0.656391
mgd,3,1,0,0.000064,0.000000,0.000064,1.000000
mgd͡ʒ,3,10,0,0.000637,0.000000,0.000637,1.000000
mgl,3,6,2,0.000382,0.000141,0.000523,0.729921
mgm,3,1,0,0.000064,0.000000,0.000064,1.000000
mgr,3,13,8,0.000828,0.000565,0.001393,0.594142
mgv,3,6,0,0.000382,0.000000,0.000382,1.000000
mgw,3,51,0,0.003247,0.000000,0.003247,1.000000
mgɲ,3,3,0,0.000191,0.000000,0.000191,1.000000
mgʒ,3,3,0,0.000191,0.000000,0.000191,1.000000
mh,2,0,89,0.000000,0.006290,0.006290,0.000000
mj,2,309,157,0.019673,0.011095,0.030768,0.639387
mk,2,458,68,0.029159,0.004806,0.033965,0.858510
mkf,3,5,0,0.000318,0.000000,0.000318,1.000000
mkl,3,9,6,0.000573,0.000424,0.000997,0.574705
mkn,3,26,0,0.001655,0.000000,0.001655,1.000000
mkr,3,54,5,0.003438,0.000353,0.003791,0.906798
mkrv,4,1,0,0.000064,0.000000,0.000064,1.000000
mkt,3,2,0,0.000127,0.000000,0.000127,1.000000
mkw,3,4,10,0.000255,0.000707,0.000961,0.264894
mkɲ,3,35,0,0.002228,0.000000,0.002228,1.000000
mkʃ,3,16,0,0.001019,0.000000,0.001019,1.000000
mkʃt,4,6,0,0.000382,0.000000,0.000382,1.000000
ml,2,127,78,0.008086,0.005512,0.013598,0.594617
mm,2,326,60,0.020755,0.004240,0.024995,0.830357
mmg,3,1,0,0.000064,0.000000,0.000064,1.000000
mmgw,4,1,0,0.000064,0.000000,0.000064,1.000000
mmj,3,0,2,0.000000,0.000141,0.000141,0.000000
mml,3,2,0,0.000127,0.000000,0.000127,1.000000
mmr,3,2,0,0.000127,0.000000,0.000127,1.000000
mms,3,1,0,0.000064,0.000000,0.000064,1.000000
mmw,3,4,0,0.000255,0.000000,0.000255,1.000000
mmɲ,3,9,0,0.000573,0.000000,0.000573,1.000000
mn,2,707,79,0.045012,0.005583,0.050595,0.889652
mnj,3,0,2,0.000000,0.000141,0.000141,0.000000
mnp,3,1,0,0.000064,0.000000,0.000064,1.000000
mnz,3,1,0,0.000064,0.000000,0.000064,1.000000
mnzw,4,1,0,0.000064,0.000000,0.000064,1.000000
mp,2,1901,710,0.121029,0.050177,0.171206,0.706921
mpb,3,0,2,0.000000,0.000141,0.000141,0.000000
mpf,3,1,2,0.000064,0.000141,0.000205,0.310552
mpfl,4,0,1,0.000000,0.000071,0.000071,0.000000
mpfp,4,1,0,0.000064,0.000000,0.000064,1.000000
mpfpʃ,5,1,0,0.000064,0.000000,0.000064,1.000000
mph,3,0,1,0.000000,0.000071,0.000071,0.000000
mpj,3,0,36,0.000000,0.002544,0.002544,0.000000
mpk,3,11,1,0.000700,0.000071,0.000771,0.908338
mpl,3,78,109,0.004966,0.007703,0.012669,0.391972
mpm,3,1,3,0.000064,0.000212,0.000276,0.230941
mpn,3,80,0,0.005093,0.000000,0.005093,1.000000
mpp,3,3,1,0.000191,0.000071,0.000262,0.729921
mpr,3,169,68,0.010760,0.004806,0.015565,0.691256
mps,3,36,27,0.002292,0.001908,0.004200,0.545695
mpsf,4,0,1,0.000000,0.000071,0.000071,0.000000
mpsfr,5,0,1,0.000000,0.000071,0.000071,0.000000
mpsk,4,5,0,0.000318,0.000000,0.000318,1.000000
mpst,4,25,1,0.001592,0.000071,0.001662,0.957486
mpstf,5,25,0,0.001592,0.000000,0.001592,1.000000
mpstfn,6,1,0,0.000064,0.000000,0.000064,1.000000
mpstfp,6,1,0,0.000064,0.000000,0.000064,1.000000
